Player,Position,Team,Rebounds,Assists,Steals,Blocks,Turnovers,Fantasy_Points
Shai Gilgeous-Alexander,PG,OKC,0,0,0,0,0,203.7
Ochai Agbaji,SF,TOR,0,0,0,0,0,34.4
Evan Mobley,PF,CLE,0,0,0,0,0,144.6
Jimmy Butler,SF,MIA,0,0,0,0,0,70.4
Jalen Wilson,PF,BKN,0,0,0,0,0,3.7
Taylor Hendricks,PF,UTA,0,0,0,0,0,47.9
Kevin Durant,PF,PHO,0,0,0,0,0,151.0
Davion Mitchell,PG,TOR,0,0,0,0,0,17.9
Kyle Lowry,PG,PHL,0,0,0,0,0,76.7
Jordan Poole,SG,WAS,0,0,0,0,0,92.9
Darius Garland,PG,CLE,0,0,0,0,0,91.0
De'Aaron Fox,PG,SAC,0,0,0,0,0,92.4
Jusuf Nurkic,C,PHO,0,0,0,0,0,77.5
Scottie Barnes,SF,TOR,0,0,0,0,0,106.3
Tim Hardaway Jr.,SG,DET,0,0,0,0,0,57.7
Bennedict Mathurin,SF,IND,0,0,0,0,0,68.0
Marcus Smart,SG,MEM,0,0,0,0,0,54.7
Rudy Gobert,C,MIN,0,0,0,0,0,106.4
Ben Simmons,PG,BKN,0,0,0,0,0,62.9
Onyeka Okongwu,C,ATL,0,0,0,0,0,104.3
Keldon Johnson,SF,SAS,0,0,0,0,0,44.4
Julius Randle,PF,MIN,0,0,0,0,0,132.1
Jalen Brunson,PG,NYK,0,0,0,0,0,75.7
LeBron James,SF,LAL,0,0,0,0,0,151.1
Gary Trent Jr.,SG,MIL,0,0,0,0,0,10.0
LaMelo Ball,PG,CHA,0,0,0,0,0,176.7
Malik Beasley,SG,DET,0,0,0,0,0,53.4
Julian Strawther,SF,DEN,0,0,0,0,0,11.0
Brook Lopez,C,MIL,0,0,0,0,0,93.2
Pascal Siakam,PF,IND,0,0,0,0,0,113.6
Alex Caruso,SG,OKC,0,0,0,0,0,49.5
Derrick White,SG,BOS,0,0,0,0,0,125.1
Caleb Martin,SG,PHL,0,0,0,0,0,80.7
Jarrett Allen,C,CLE,0,0,0,0,0,130.6
Payton Pritchard,PG,BOS,0,0,0,0,0,32.9
Karl-Anthony Towns,C,NYK,0,0,0,0,0,79.9
Jalen Williams,PF,OKC,0,0,0,0,0,115.2
Al Horford,C,BOS,0,0,0,0,0,38.1
Donte DiVincenzo,SG,MIN,0,0,0,0,0,61.7
Dereck Lively II,C,DAL,0,0,0,0,0,63.9
Gary Trent Jr.,SG,MIL,0,0,0,0,0,22.7
Herbert Jones,SF,NOP,0,0,0,0,0,57.4
Bradley Beal,SF,PHO,0,0,0,0,0,83.8
Anthony Edwards,SG,MIN,0,0,0,0,0,140.8
Mike Conley,PG,MIN,0,0,0,0,0,65.8
Jeremy Sochan,PF,SAS,0,0,0,0,0,69.6
Stephon Castle,PG,SAS,0,0,0,0,0,33.8
Lauri Markkanen,PF,UTA,0,0,0,0,0,77.9
Tyrese Haliburton,PG,IND,0,0,0,0,0,80.5
Cade Cunningham,PG,DET,0,0,0,0,0,155.0
Jalen Suggs,PG,ORL,0,0,0,0,0,98.3
DeMar DeRozan,SF,SAC,0,0,0,0,0,82.1
Kyrie Irving,PG,DAL,0,0,0,0,0,78.5
Grayson Allen,SG,PHO,0,0,0,0,0,20.2
Dorian Finney-Smith,PF,LAL,0,0,0,0,0,14.1
Alexandre Sarr,C,WAS,0,0,0,0,0,46.2
Nikola Vucevic,C,CHI,0,0,0,0,0,128.8
Gary Harris,SG,ORL,0,0,0,0,0,12.7
Kevin Porter Jr.,SG,LAC,0,0,0,0,0,28.2
Kevin Huerter,SG,SAC,0,0,0,0,0,6.3
De'Anthony Melton,PG,BKN,0,0,0,0,0,28.9
Dalton Knecht,SG,LAL,0,0,0,0,0,45.9
Brandon Ingram,SF,NOP,0,0,0,0,0,142.6
OG Anunoby,SF,NYK,0,0,0,0,0,40.8
Trayce Jackson-Davis,PF,GSW,0,0,0,0,0,68.3
Franz Wagner,SF,ORL,0,0,0,0,0,146.4
Tyler Herro,SG,MIA,0,0,0,0,0,71.5
Donovan Mitchell,SG,CLE,0,0,0,0,0,130.6
Jaime Jaquez Jr.,SF,MIA,0,0,0,0,0,44.2
Bogdan Bogdanovic,SG,ATL,0,0,0,0,0,19.4
Brandin Podziemski,SG,GSW,0,0,0,0,0,57.9
Anthony Davis,C,LAL,0,0,0,0,0,201.6
Cameron Johnson,SF,BKN,0,0,0,0,0,79.4
Gradey Dick,SG,TOR,0,0,0,0,0,51.9
Jalen Green,SG,HOU,0,0,0,0,0,132.8
Josh Giddey,SG,CHI,0,0,0,0,0,90.6
Spencer Dinwiddie,PG,DAL,0,0,0,0,0,1.2
Jordan Clarkson,SG,UTA,0,0,0,0,0,50.2
Immanuel Quickley,PG,TOR,0,0,0,0,0,24.9
Christian Braun,SG,DEN,0,0,0,0,0,32.9
Terance Mann,SG,LAC,0,0,0,0,0,25.1
Corey Kispert,SF,WAS,0,0,0,0,0,17.0
Keyonte George,PG,UTA,0,0,0,0,0,39.3
Andre Drummond,C,PHL,0,0,0,0,0,98.8
Toumani Camara,PF,POR,0,0,0,0,0,50.3
Norman Powell,SG,LAC,0,0,0,0,0,117.1
Jabari Smith Jr.,PF,HOU,0,0,0,0,0,81.6
Paolo Banchero,PF,ORL,0,0,0,0,0,123.8
